Item,Price per unit,Nr of units,Total price,Link
PCB with PCBA,$60.00,1,$60.00,https://jlcpcb.com/
Display,$4.36,1,$4.36,https://www.buydisplay.com/2-inch-ips-tft-lcd-display-ips-panel-screen-240x320-for-smart-watch
2x7 2.54mm header,$0.386,10,$3.860,https://www.aliexpress.com/item/1005012166781874.html
Battery 502035,$6.64,1,$6.64,https://www.aliexpress.com/item/1005008218024646.html
M2 OD3 L2 heat set insert ,$0.0696,15,$1.0440,https://www.aliexpress.com/item/1005006798286851.html
M2 L6 screw,$0.0766,5,$0.3830,https://www.aliexpress.com/item/4000970993800.html
M2 L8 screw,$0.0766,2,$0.1532,https://www.aliexpress.com/item/4000970993800.html
M2 L4 screw,$0.0766,8,$0.6128,https://www.aliexpress.com/item/4000970993800.html
,,Total:,$77.05,
